fold_no;output_lats;output_lons;input_lats;input_lons;radius_basis_func;number_basis_func;standardization;rm_annual_cycle;rm_tercile_edges;batch_size;epochs;features;accuracy;loss;RPSS_year1;RPSS_year2;min_percentage;max_percentage;history
0;slice(63, 52, None);slice(67, 78, None);slice(69, 46, None);slice(61, 85, None);8;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.36954599618911743;1.109246015548706;-0.011395519243765535;-0.08492394167362083;0.13337954878807068;0.6686121225357056;{'loss': [1.1069996356964111, 1.1010568141937256, 1.101008653640747, 1.0813050270080566, 1.0888599157333374], 'accuracy': [0.37840670347213745, 0.38240304589271545, 0.38256680965423584, 0.41268670558929443, 0.40305620431900024], 'val_loss': [1.1150171756744385, 1.1129268407821655, 1.111262321472168, 1.1099016666412354, 1.1092461347579956], 'val_accuracy': [0.36320754885673523, 0.364681601524353, 0.3674823045730591, 0.36807194352149963, 0.36954599618911743]}
1;slice(63, 52, None);slice(67, 78, None);slice(69, 46, None);slice(61, 85, None);8;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.3273879587650299;1.097532033920288;0.00017230830108298095;-0.011415234089133247;0.14832401275634766;0.5835118889808655;{'loss': [1.1203651428222656, 1.116397500038147, 1.1090471744537354, 1.1048195362091064, 1.1004611253738403], 'accuracy': [0.30987945199012756, 0.3154808580875397, 0.33284199237823486, 0.34463444352149963, 0.36057060956954956], 'val_loss': [1.1191444396972656, 1.1111046075820923, 1.1052398681640625, 1.100951075553894, 1.0975319147109985], 'val_accuracy': [0.2752063572406769, 0.29525354504585266, 0.30822524428367615, 0.3183962404727936, 0.3273879587650299]}
1;slice(63, 52, None);slice(67, 78, None);slice(69, 46, None);slice(61, 85, None);8;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.35804834961891174;1.0907281637191772;0.011119595953756674;-0.012215610718448006;0.11558365821838379;0.6615212559700012;{'loss': [1.094688892364502, 1.0926765203475952, 1.0892739295959473, 1.08907949924469, 1.0841060876846313], 'accuracy': [0.37624475359916687, 0.3791273534297943, 0.3909689486026764, 0.3928360939025879, 0.40813350677490234], 'val_loss': [1.0954910516738892, 1.0938364267349243, 1.0927225351333618, 1.0916424989700317, 1.0907281637191772], 'val_accuracy': [0.34021225571632385, 0.34655070304870605, 0.34920400381088257, 0.35288915038108826, 0.35804834961891174]}
2;slice(63, 52, None);slice(67, 78, None);slice(69, 46, None);slice(61, 85, None);8;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.36733490228652954;1.1029106378555298;-0.023277654113527217;-0.008375546093090318;0.12986476719379425;0.646076500415802;{'loss': [1.147749662399292, 1.1356325149536133, 1.1174819469451904, 1.1107978820800781, 1.1058117151260376], 'accuracy': [0.3419811427593231, 0.344012051820755, 0.35631224513053894, 0.36543500423431396, 0.3662375509738922], 'val_loss': [1.1094603538513184, 1.1051141023635864, 1.1031914949417114, 1.1030442714691162, 1.1029105186462402], 'val_accuracy': [0.3381485939025879, 0.3512676954269409, 0.3642393946647644, 0.3630601465702057, 0.36733490228652954]}
2;slice(63, 52, None);slice(67, 78, None);slice(69, 46, None);slice(61, 85, None);8;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.38001179695129395;1.1050310134887695;-0.02503798783799865;-0.009767314374166544;0.1635480523109436;0.6025105714797974;{'loss': [1.101419448852539, 1.1061522960662842, 1.0948820114135742, 1.0927170515060425, 1.0959036350250244], 'accuracy': [0.3765068054199219, 0.36903825402259827, 0.38795530796051025, 0.3888888955116272, 0.3784722089767456], 'val_loss': [1.1033660173416138, 1.1037275791168213, 1.104276418685913, 1.1047782897949219, 1.1050307750701904], 'val_accuracy': [0.3689563572406769, 0.3705778419971466, 0.37293630838394165, 0.37662145495414734, 0.38001179695129395]}
3;slice(63, 52, None);slice(67, 78, None);slice(69, 46, None);slice(61, 85, None);8;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.3329893946647644;1.1042711734771729;-0.001982390410813085;-0.02943929134253245;0.13817037642002106;0.5785162448883057;{'loss': [1.1297308206558228, 1.1178646087646484, 1.1074434518814087, 1.1118780374526978, 1.1062825918197632], 'accuracy': [0.3309912085533142, 0.3331531584262848, 0.36057060956954956, 0.3476480543613434, 0.35107114911079407], 'val_loss': [1.1132646799087524, 1.1111677885055542, 1.1086454391479492, 1.1061127185821533, 1.1042711734771729], 'val_accuracy': [0.3232606053352356, 0.3247346580028534, 0.3276827931404114, 0.3295990526676178, 0.3329893946647644]}
3;slice(63, 52, None);slice(67, 78, None);slice(69, 46, None);slice(61, 85, None);8;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.3676297068595886;1.093193769454956;0.0070566467990390335;-0.019564954781108836;0.08651816099882126;0.6822466850280762;{'loss': [1.106533169746399, 1.0976146459579468, 1.0965192317962646, 1.0960111618041992, 1.093106746673584], 'accuracy': [0.3549036979675293, 0.3728216588497162, 0.36803919076919556, 0.37940579652786255, 0.3867596983909607], 'val_loss': [1.1026197671890259, 1.09987211227417, 1.0969877243041992, 1.0948431491851807, 1.0931938886642456], 'val_accuracy': [0.33755895495414734, 0.3493514060974121, 0.3590801954269409, 0.3661556541919708, 0.3676297068595886]}
4;slice(63, 52, None);slice(67, 78, None);slice(69, 46, None);slice(61, 85, None);8;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.39607900381088257;1.090553879737854;-0.013973710217278959;0.0028151208034385275;0.17908598482608795;0.45744794607162476;{'loss': [1.1038445234298706, 1.1016939878463745, 1.1024956703186035, 1.1005909442901611, 1.0958080291748047], 'accuracy': [0.33348074555397034, 0.33839425444602966, 0.34365174174308777, 0.3496626019477844, 0.3597680926322937], 'val_loss': [1.095627784729004, 1.094038963317871, 1.0926612615585327, 1.0917192697525024, 1.090554118156433], 'val_accuracy': [0.3589327931404114, 0.3720518946647644, 0.3842865526676178, 0.393130898475647, 0.39607900381088257]}
4;slice(63, 52, None);slice(67, 78, None);slice(69, 46, None);slice(61, 85, None);8;16;True;True;True;32;10;['lower_t2m', 'upper_t2m'];0.4128832519054413;1.0851739645004272;-0.013908029805532783;0.006687422727133519;0.1699422299861908;0.472577303647995;{'loss': [1.1001315116882324, 1.0974737405776978, 1.0971227884292603, 1.0973514318466187, 1.0942786931991577], 'accuracy': [0.35302019119262695, 0.3607180416584015, 0.3640100955963135, 0.3645505905151367, 0.37133124470710754], 'val_loss': [1.08934485912323, 1.088688850402832, 1.0875885486602783, 1.0863361358642578, 1.0851739645004272], 'val_accuracy': [0.3977004587650299, 0.4013856053352356, 0.40418630838394165, 0.4084610939025879, 0.4128832519054413]}
5;slice(63, 52, None);slice(67, 78, None);slice(69, 46, None);slice(61, 85, None);8;16;True;True;True;32;5;['lower_t2m', 'upper_t2m'];0.3977004587650299;1.084630012512207;0.0247617471069502;-0.009093574420716823;0.12790313363075256;0.6809191703796387;{'loss': [1.1139694452285767, 1.1057049036026, 1.1011946201324463, 1.0973093509674072, 1.0933388471603394], 'accuracy': [0.364681601524353, 0.36369889974594116, 0.36964425444602966, 0.37680160999298096, 0.3873656988143921], 'val_loss': [1.0966484546661377, 1.09230637550354, 1.0897096395492554, 1.0863187313079834, 1.0846298933029175], 'val_accuracy': [0.36704009771347046, 0.37588444352149963, 0.37706369161605835, 0.3909198045730591, 0.3977004587650299]}
